ambito,provincia,campana,tipo_tabaco,es_total,sup_sembrada_ha,sup_cosechada_ha,produccion_kg,rendimiento_kg_ha,precio_acopio_unitario,precio_fet_unitario,precio_total_unitario,moneda,pagina_origen
NACIONAL,NACIONAL,1991/1992,TOTAL,True,80330.0,70836.0,109156757.0,1541.0,,,,PESOS,2
NACIONAL,NACIONAL,1992/1993,TOTAL,True,78126.0,68549.0,112305221.0,1638.0,,,,PESOS,2
NACIONAL,NACIONAL,1993/1994,TOTAL,True,55453.0,49378.0,81957225.0,1660.0,,,,PESOS,2
NACIONAL,NACIONAL,1994/1995,TOTAL,True,58422.0,49833.0,79011471.0,1586.0,,,,PESOS,2
NACIONAL,NACIONAL,1995/1996,TOTAL,True,63198.0,55970.0,98201157.0,1755.0,,,,PESOS,2
NACIONAL,NACIONAL,1996/1997,TOTAL,True,74661.0,69677.0,123205805.0,1768.0,,,,PESOS,2
NACIONAL,NACIONAL,1997/1998,TOTAL,True,84454.0,77001.0,116509702.0,1513.0,,,,PESOS,2
NACIONAL,NACIONAL,1998/1999,TOTAL,True,79015.0,68201.0,113442774.0,1663.0,,,,PESOS,2
NACIONAL,NACIONAL,1999/2000,TOTAL,True,64641.0,59612.0,114509105.0,1921.0,,,,PESOS,2
NACIONAL,NACIONAL,2000/2001,TOTAL,True,59647.0,56829.0,98110172.0,1726.0,,,,PESOS,2
NACIONAL,NACIONAL,2001/2002,TOTAL,True,68308.0,65988.0,132436707.0,2007.0,,,,PESOS,2
NACIONAL,NACIONAL,2002/2003,TOTAL,True,75207.0,65702.0,115837217.0,1763.0,,,,PESOS,2
NACIONAL,NACIONAL,2003/2004,TOTAL,True,83185.0,77587.0,157293811.0,2027.0,,,,PESOS,2
NACIONAL,NACIONAL,2004/2005,TOTAL,True,91559.0,83169.0,161063709.0,1937.0,,,,PESOS,2
NACIONAL,NACIONAL,2005/2006,TOTAL,True,84587.0,78255.0,144344555.0,1845.0,,,,PESOS,2
NACIONAL,NACIONAL,2006/2007,TOTAL,True,81801.0,73267.0,127739507.0,1743.0,,,,PESOS,2
NACIONAL,NACIONAL,2007/2008,TOTAL,True,76435.0,67498.0,130381133.0,1932.0,,,,PESOS,2
NACIONAL,NACIONAL,2008/2009,TOTAL,True,79455.0,74547.0,135531415.0,1818.0,,,,PESOS,2
NACIONAL,NACIONAL,2009/2010,TOTAL,True,78304.0,67674.0,132869988.0,1963.0,,,,PESOS,2
NACIONAL,NACIONAL,2010/2011,TOTAL,True,81936.0,75715.0,135241219.0,1786.0,,,,PESOS,2
NACIONAL,NACIONAL,2011/2012,TOTAL,True,69426.0,63327.0,115333898.0,1821.0,,,,PESOS,2
NACIONAL,NACIONAL,2012/2013,TOTAL,True,68413.0,63146.0,112347708.0,1779.0,,,,PESOS,2
NACIONAL,NACIONAL,2013/2014,TOTAL,True,71288.0,65683.0,127085414.0,1935.0,,,,PESOS,2
NACIONAL,NACIONAL,2014/2015,TOTAL,True,69707.0,55194.0,109105987.0,1977.0,,,,PESOS,2
NACIONAL,NACIONAL,2015/2016,TOTAL,True,56068.0,43815.0,93670867.0,2138.0,,,,PESOS,2
NACIONAL,NACIONAL,2016/2017,TOTAL,True,60571.0,57321.0,117154425.0,2044.0,,,,PESOS,2
NACIONAL,NACIONAL,2017/2018,TOTAL,True,65075.0,56951.0,104093271.0,1828.0,,,,PESOS,2
NACIONAL,NACIONAL,2018/2019,TOTAL,True,66959.0,60643.0,107349565.0,1770.0,,,,PESOS,2
NACIONAL,NACIONAL,2019/2020,TOTAL,True,61643.0,57719.0,112856642.0,1955.0,,,,PESOS,2
NACIONAL,NACIONAL,2020/2021,TOTAL,True,59152.0,54677.0,97886412.0,1790.0,,,,PESOS,2
NACIONAL,NACIONAL,2021/2022,TOTAL,True,59808.0,52076.0,91610387.0,1759.0,,,,PESOS,2
NACIONAL,NACIONAL,2022/2023,TOTAL,True,56857.0,51271.0,87408882.0,1705.0,,,,PESOS,2
NACIONAL,NACIONAL,1991/1992,C. SALTEÑO,False,628.0,569.0,488641.0,859.0,,,,PESOS,4
NACIONAL,NACIONAL,1991/1992,KENTUCKY,False,8.0,7.0,9097.0,1300.0,,,,PESOS,4
NACIONAL,NACIONAL,1991/1992,VIRGINIA,False,39341.0,34831.0,55622239.0,1597.0,,,,PESOS,4
NACIONAL,NACIONAL,1991/1992,BURLEY,False,30560.0,25223.0,42602358.0,1689.0,,,,PESOS,4
NACIONAL,NACIONAL,1991/1992,C. CORRENTINO,False,4600.0,4570.0,3697431.0,809.0,,,,PESOS,4
NACIONAL,NACIONAL,1991/1992,C. MISIONERO,False,914.0,604.0,1054150.0,1745.0,,,,PESOS,4
NACIONAL,NACIONAL,1992/1993,C. SALTEÑO,False,1002.0,915.0,761151.0,832.0,,,,PESOS,4
NACIONAL,NACIONAL,1992/1993,KENTUCKY,False,8.0,6.0,8801.0,1467.0,,,,PESOS,4
NACIONAL,NACIONAL,1992/1993,VIRGINIA,False,41042.0,37231.0,64181330.0,1724.0,,,,PESOS,4
NACIONAL,NACIONAL,1992/1993,BURLEY,False,20511.0,19223.0,31836552.0,1656.0,,,,PESOS,4
NACIONAL,NACIONAL,1992/1993,C. CORRENTINO,False,5100.0,3170.0,4156409.0,1311.0,,,,PESOS,4
NACIONAL,NACIONAL,1992/1993,C. MISIONERO,False,3256.0,3256.0,3296551.0,1012.0,,,,PESOS,4
NACIONAL,NACIONAL,1993/1994,C. SALTEÑO,False,797.0,650.0,909566.0,1399.0,,,,PESOS,4
NACIONAL,NACIONAL,1993/1994,KENTUCKY,False,291.0,291.0,8484.0,29.0,,,,PESOS,4
NACIONAL,NACIONAL,1993/1994,VIRGINIA,False,25776.0,23072.0,41743780.0,1809.0,,,,PESOS,4
NACIONAL,NACIONAL,1993/1994,BURLEY,False,19277.0,14075.0,21912705.0,1557.0,,,,PESOS,4
NACIONAL,NACIONAL,1993/1994,C. CORRENTINO,False,6956.0,6521.0,7746904.0,1188.0,,,,PESOS,4
NACIONAL,NACIONAL,1993/1994,C. MISIONERO,False,4501.0,3979.0,4855014.0,1220.0,,,,PESOS,4
NACIONAL,NACIONAL,1994/1995,C. SALTEÑO,False,1000.0,870.0,1344288.0,1545.0,,,,PESOS,4
NACIONAL,NACIONAL,1994/1995,KENTUCKY,False,3.0,3.0,3414.0,1138.0,,,,PESOS,4
NACIONAL,NACIONAL,1994/1995,VIRGINIA,False,26685.0,24385.0,43149146.0,1769.0,,,,PESOS,4
NACIONAL,NACIONAL,1994/1995,BURLEY,False,20820.0,17432.0,26883273.0,1542.0,,,,PESOS,4
NACIONAL,NACIONAL,1994/1995,C. CORRENTINO,False,6918.0,5734.0,6331555.0,1104.0,,,,PESOS,4
NACIONAL,NACIONAL,1994/1995,C. MISIONERO,False,3764.0,3760.0,4774803.0,1270.0,,,,PESOS,4
NACIONAL,NACIONAL,1995/1996,C. SALTEÑO,False,895.0,800.0,1391414.0,1739.0,,,,PESOS,4
NACIONAL,NACIONAL,1995/1996,KENTUCKY,False,12.0,11.0,10802.0,982.0,,,,PESOS,4
NACIONAL,NACIONAL,1995/1996,VIRGINIA,False,30789.0,28233.0,58809310.0,2083.0,,,,PESOS,4
NACIONAL,NACIONAL,1996/1997,C. SALTEÑO,False,240.0,308.0,422310.0,1371.0,,,,PESOS,5
NACIONAL,NACIONAL,1996/1997,KENTUCKY,False,4.0,4.0,3545.0,1013.0,,,,PESOS,5
NACIONAL,NACIONAL,1996/1997,VIRGINIA,False,40040.0,37710.0,75289544.0,1997.0,,,,PESOS,5
NACIONAL,NACIONAL,1996/1997,BURLEY,False,20314.0,26499.0,28610243.0,1080.0,,,,PESOS,5
NACIONAL,NACIONAL,1996/1997,C. CORRENTINO,False,5900.0,4445.0,3187599.0,717.0,,,,PESOS,5
NACIONAL,NACIONAL,1996/1997,C. MISIONERO,False,3665.0,3260.0,1854729.0,569.0,,,,PESOS,5
NACIONAL,NACIONAL,1997/1998,C. SALTEÑO,False,360.0,306.0,490270.0,1602.0,,,,PESOS,5
NACIONAL,NACIONAL,1997/1998,VIRGINIA,False,45207.0,41931.0,82366861.0,1964.0,,,,PESOS,5
NACIONAL,NACIONAL,1997/1998,BURLEY,False,28090.0,26354.0,40946236.0,1554.0,,,,PESOS,5
NACIONAL,NACIONAL,1997/1998,C. CORRENTINO,False,6200.0,4950.0,7722711.0,1560.0,,,,PESOS,5
NACIONAL,NACIONAL,1997/1998,C. MISIONERO,False,4000.0,3905.0,3166962.0,811.0,,,,PESOS,5
NACIONAL,NACIONAL,1998/1999,C. SALTEÑO,False,350.0,321.0,520599.0,1622.0,,,,PESOS,5
NACIONAL,NACIONAL,1998/1999,VIRGINIA,False,40375.0,32671.0,61086266.0,1870.0,,,,PESOS,5
NACIONAL,NACIONAL,1998/1999,BURLEY,False,23007.0,22624.0,38997019.0,1724.0,,,,PESOS,5
NACIONAL,NACIONAL,1998/1999,C. CORRENTINO,False,5270.0,3450.0,4146711.0,1202.0,,,,PESOS,5
NACIONAL,NACIONAL,1998/1999,C. MISIONERO,False,4296.0,3852.0,3874802.0,1006.0,,,,PESOS,5
NACIONAL,NACIONAL,1999/2000,C. SALTEÑO,False,744.0,730.0,1468413.0,2012.0,,,,PESOS,5
